timestamp,experiment_id,frame_id,motion_percent,num_rois,rois_json
2026-07-23T15:39:30.487Z,camera_0,,1470,49.2578,2,"[{""bbox"":[120,180,612,478]},{""bbox"":[23,0,107,56]}]"
2026-07-23T15:39:31.322Z,camera_0,,1480,55.0771,3,"[{""bbox"":[117,180,612,478]},{""bbox"":[23,0,107,56]},{""bbox"":[69,13,222,124]}]"
2026-07-23T15:39:33.818Z,camera_0,,1490,54.7764,3,"[{""bbox"":[121,180,613,478]},{""bbox"":[69,13,222,124]},{""bbox"":[25,0,107,57]}]"
2026-07-23T15:39:35.360Z,camera_0,,1500,54.6891,3,"[{""bbox"":[122,180,613,478]},{""bbox"":[68,13,221,124]},{""bbox"":[23,0,107,56]}]"
2026-07-23T15:39:36.226Z,camera_0,,1510,54.5993,3,"[{""bbox"":[123,180,614,478]},{""bbox"":[68,13,221,124]},{""bbox"":[25,0,107,54]}]"
2026-07-23T15:39:37.609Z,camera_0,,1520,71.2536,3,"[{""bbox"":[75,107,607,478]},{""bbox"":[68,13,221,124]},{""bbox"":[23,0,107,54]}]"
2026-07-23T15:39:40.968Z,camera_0,,1530,64.2832,3,"[{""bbox"":[97,135,610,478]},{""bbox"":[68,13,221,124]},{""bbox"":[23,0,107,54]}]"
2026-07-23T15:39:42.471Z,camera_0,,1540,60.249,3,"[{""bbox"":[105,154,610,478]},{""bbox"":[68,13,221,124]},{""bbox"":[23,0,106,54]}]"
2026-07-23T15:39:43.625Z,camera_0,,1550,52.7702,2,"[{""bbox"":[110,164,612,478]},{""bbox"":[23,0,106,54]}]"
2026-07-23T15:39:45.130Z,camera_0,,1560,56.7272,3,"[{""bbox"":[116,171,613,478]},{""bbox"":[23,0,106,54]},{""bbox"":[67,11,222,122]}]"
2026-07-23T15:39:46.179Z,camera_0,,1570,55.6855,3,"[{""bbox"":[120,175,613,478]},{""bbox"":[23,0,106,54]},{""bbox"":[67,11,222,122]}]"
2026-07-23T15:39:47.428Z,camera_0,,1580,54.1995,2,"[{""bbox"":[118,177,614,478]},{""bbox"":[67,11,222,122]}]"
2026-07-23T15:39:48.902Z,camera_0,,1590,53.7793,2,"[{""bbox"":[118,179,613,478]},{""bbox"":[67,11,222,122]}]"
2026-07-23T15:39:50.289Z,camera_0,,1600,48.0814,1,"[{""bbox"":[121,179,615,478]}]"
2026-07-23T15:39:52.733Z,camera_0,,1610,47.9206,1,"[{""bbox"":[121,180,615,478]}]"
2026-07-23T15:39:54.255Z,camera_0,,1620,52.6878,2,"[{""bbox"":[114,182,603,478]},{""bbox"":[50,12,207,121]}]"
2026-07-23T15:39:55.336Z,camera_0,,1630,52.7207,2,"[{""bbox"":[107,183,598,478]},{""bbox"":[50,12,207,121]}]"
2026-07-23T15:39:57.997Z,camera_0,,1640,52.4326,2,"[{""bbox"":[105,183,593,478]},{""bbox"":[50,12,207,121]}]"
2026-07-23T15:39:59.884Z,camera_0,,1650,70.7992,2,"[{""bbox"":[63,109,609,476]},{""bbox"":[50,12,207,121]}]"
2026-07-23T15:40:01.105Z,camera_0,,1660,57.6628,1,"[{""bbox"":[80,137,601,477]}]"
2026-07-23T15:40:03.823Z,camera_0,,1670,53.5,1,"[{""bbox"":[87,156,599,477]}]"
2026-07-23T15:40:04.884Z,camera_0,,1680,50.3936,1,"[{""bbox"":[94,168,595,477]}]"
2026-07-23T15:40:05.910Z,camera_0,,1690,48.9844,1,"[{""bbox"":[97,173,592,477]}]"
2026-07-23T15:40:07.838Z,camera_0,,1700,48.568,1,"[{""bbox"":[99,178,598,477]}]"
2026-07-23T15:40:09.052Z,camera_0,,1710,45.207,1,"[{""bbox"":[61,151,487,477]}]"
2026-07-23T15:40:16.054Z,camera_0,,1720,47.25,1,"[{""bbox"":[72,153,520,477]}]"
2026-07-23T15:40:17.386Z,camera_0,,1730,57.0938,3,"[{""bbox"":[84,147,547,477]},{""bbox"":[50,6,208,120]},{""bbox"":[3,0,93,51]}]"
2026-07-23T15:40:18.303Z,camera_0,,1740,59.0218,3,"[{""bbox"":[86,143,562,477]},{""bbox"":[50,7,207,120]},{""bbox"":[3,0,93,51]}]"
2026-07-23T15:40:19.167Z,camera_0,,1750,56.8701,3,"[{""bbox"":[100,142,555,477]},{""bbox"":[50,7,207,120]},{""bbox"":[3,0,92,51]}]"
2026-07-23T15:40:20.623Z,camera_0,,1760,57.6146,3,"[{""bbox"":[96,145,562,477]},{""bbox"":[50,7,207,120]},{""bbox"":[3,0,92,51]}]"
2026-07-23T15:40:22.080Z,camera_0,,1770,42.0544,3,"[{""bbox"":[185,203,575,477]},{""bbox"":[50,7,207,120]},{""bbox"":[2,0,92,51]}]"
2026-07-23T15:40:29.654Z,camera_0,,1780,42.4961,2,"[{""bbox"":[177,165,581,477]},{""bbox"":[2,0,92,50]}]"
2026-07-23T15:40:30.749Z,camera_0,,1790,54.3467,3,"[{""bbox"":[135,160,592,477]},{""bbox"":[2,0,92,50]},{""bbox"":[50,8,207,120]}]"
2026-07-23T15:40:31.779Z,camera_0,,1800,57.0781,3,"[{""bbox"":[112,161,597,477]},{""bbox"":[2,0,92,50]},{""bbox"":[50,6,207,118]}]"
2026-07-23T15:40:33.758Z,camera_0,,1810,57.5924,3,"[{""bbox"":[101,161,591,477]},{""bbox"":[2,0,92,50]},{""bbox"":[50,6,207,118]}]"
2026-07-23T15:40:35.772Z,camera_0,,1820,58.5182,3,"[{""bbox"":[89,161,588,477]},{""bbox"":[2,0,92,50]},{""bbox"":[50,6,207,118]}]"
2026-07-23T15:40:37.289Z,camera_0,,1830,61.138,2,"[{""bbox"":[81,149,600,477]},{""bbox"":[50,6,207,118]}]"
2026-07-23T15:40:38.359Z,camera_0,,1840,60.319,1,"[{""bbox"":[63,137,608,477]}]"
2026-07-23T15:40:40.424Z,camera_0,,1850,61.4766,1,"[{""bbox"":[63,133,612,477]}]"
2026-07-23T15:40:42.154Z,camera_0,,1860,69.2747,2,"[{""bbox"":[55,129,616,477]},{""bbox"":[50,7,207,119]}]"
2026-07-23T15:40:52.330Z,camera_0,,1880,65.5189,3,"[{""bbox"":[70,145,610,477]},{""bbox"":[50,7,207,119]},{""bbox"":[2,0,92,49]}]"
2026-07-23T15:40:57.425Z,camera_0,,1890,61.9671,3,"[{""bbox"":[85,157,611,477]},{""bbox"":[50,7,207,119]},{""bbox"":[1,0,92,49]}]"
2026-07-23T15:41:04.013Z,camera_0,,1900,59.279,3,"[{""bbox"":[91,168,609,477]},{""bbox"":[50,6,207,118]},{""bbox"":[1,0,92,49]}]"
2026-07-23T15:41:16.597Z,camera_0,,1920,58.9909,3,"[{""bbox"":[81,168,596,477]},{""bbox"":[50,3,209,115]},{""bbox"":[1,0,92,47]}]"
2026-07-23T15:41:21.871Z,camera_0,,1930,58.9212,3,"[{""bbox"":[81,166,592,477]},{""bbox"":[50,3,209,115]},{""bbox"":[1,0,92,47]}]"
2026-07-23T15:41:31.897Z,camera_0,,1940,51.5811,3,"[{""bbox"":[143,144,555,475]},{""bbox"":[50,3,209,115]},{""bbox"":[1,0,92,47]}]"
2026-07-23T15:41:34.193Z,camera_0,,1950,54.7344,1,"[{""bbox"":[127,104,579,476]}]"
2026-07-23T15:41:36.213Z,camera_0,,1960,61.333,1,"[{""bbox"":[119,82,596,477]}]"
2026-07-23T15:41:37.453Z,camera_0,,1970,65.7422,1,"[{""bbox"":[109,69,604,477]}]"
2026-07-23T15:41:39.195Z,camera_0,,1980,69.0928,1,"[{""bbox"":[101,60,610,477]}]"
2026-07-23T15:41:42.072Z,camera_0,,1990,61.2633,1,"[{""bbox"":[111,74,578,477]}]"
2026-07-23T15:41:44.113Z,camera_0,,2000,52.4564,1,"[{""bbox"":[145,83,554,477]}]"
2026-07-23T15:41:46.930Z,camera_0,,2010,48.1211,1,"[{""bbox"":[163,89,544,477]}]"
2026-07-23T15:41:50.348Z,camera_0,,2020,45.5062,1,"[{""bbox"":[153,94,518,477]}]"
2026-07-23T15:41:52.668Z,camera_0,,2030,40.8037,1,"[{""bbox"":[170,96,499,477]}]"
2026-07-23T15:41:55.474Z,camera_0,,2040,38.2454,1,"[{""bbox"":[179,98,489,477]}]"
2026-07-23T15:41:57.982Z,camera_0,,2050,39.9355,1,"[{""bbox"":[169,96,491,477]}]"
2026-07-23T15:42:00.524Z,camera_0,,2060,37.6042,1,"[{""bbox"":[177,97,481,477]}]"
2026-07-23T15:42:02.755Z,camera_0,,2070,39.109,1,"[{""bbox"":[169,98,486,477]}]"
2026-07-23T15:42:05.668Z,camera_0,,2080,40.7865,1,"[{""bbox"":[164,95,492,477]}]"
2026-07-23T15:42:07.911Z,camera_0,,2090,40.4824,1,"[{""bbox"":[161,99,490,477]}]"
2026-07-23T15:42:09.881Z,camera_0,,2100,38.1445,1,"[{""bbox"":[170,99,480,477]}]"
2026-07-23T15:42:12.689Z,camera_0,,2110,37.2832,1,"[{""bbox"":[174,99,477,477]}]"
2026-07-23T15:42:14.812Z,camera_0,,2120,36.5449,1,"[{""bbox"":[177,99,474,477]}]"
2026-07-23T15:42:25.516Z,camera_0,,2130,42.7881,1,"[{""bbox"":[150,96,495,477]}]"
2026-07-23T15:42:29.753Z,camera_0,,2140,43.5586,1,"[{""bbox"":[142,99,496,477]}]"
